# suite -> compose services it needs UP beyond the core (space-separated).
# The proof runner starts them before the suite (idempotent) and waits for
# health. Learned the expensive way on 24 Sep 2026: eight red suites in one
# night were nothing but a stopped downstream — "UnresolvedAddress", 502
# "party-account is unreachable", "reading 'id'" — and every one was green
# the moment its service ran. A suite's needs are data, here, not memory.
accounting_configuration_test revenue billing party-account
agentic_workforce_test      trouble-ticket mock-legacy
ai_slice_test               quote assurance mock-5gc intelligence
audience_scheduler_test     bss-bridge insight
audience_snapshot_test      bss-bridge insight
audience_sql_test           bss-bridge insight
b2b_test                    communication quote
bill_distribution_test      mock-distribution
bill_situation_test         billing party-account
billing_ia_test             billing party-account payment revenue intelligence user-roles
billing_overview_test       billing party-account payment communication intelligence
bills_desk_test             billing party-account revenue payment
bss_traits_test             bss-bridge insight
campaign_lifecycle_test     campaign
cfs_decomposition_test      product-ordering service-orchestration party-account
cfs_obeys_test              product-ordering service-orchestration party-account
cfs_realisation_test        product-ordering service-orchestration party-account
console_test                porting insight campaign product-stock
copilot_experience_test     intelligence mock-llm
copilot_test                intelligence mock-llm
csr_test                    assurance trouble-ticket recommendation intelligence knowledge
csr_wayfinding_test         knowledge intelligence party-account trouble-ticket
decision_log_test           campaign insight
device_commerce_test        revenue device-commerce
device_entitlement_test     device-entitlement mock-ts43-device mock-smdp mock-hss
diagnosis_in_place_test    assurance trouble-ticket recommendation intelligence knowledge
engagement_test             communication insight
family_phase2_test          communication
frequency_dnc_test          mock-social communication
fulfilment_dry_run_test     product-ordering service-orchestration product-catalog
fulfilment_picker_test      intelligence ontology
fulfilment_test             fulfilment mock-bring mock-postnord mock-logistics
interaction_timeline_test   communication party-interaction campaign
knowledge_help_test         knowledge intelligence
lead_cdp_engagement_test    quote insight communication
loyalty_test                loyalty
omnichannel_test            campaign party-interaction communication
party_debris_test           party-account product-inventory product-ordering billing revenue party-interaction communication campaign shopping-cart trouble-ticket appointment insight user-roles
price_builder_test          product-stock insight
process_memory_test         process trouble-ticket
referral_test               campaign revenue usage
registry_address_test       geographic-address mock-freg insight
signal_intelligence_test    intelligence mock-servicedesk campaign
spec_characteristics_test   product-catalog
telesales_test              mock-dnc party-interaction insight service-orchestration
wholesale_open_access_test  agreement qualification service-orchestration
